n=1076 k=6 orbits=538 constraints=96481
step=200000 conf=59 best=36 132s
step=400000 conf=60 best=35 306s
step=600000 conf=57 best=31 479s
step=800000 conf=66 best=31 644s
step=1000000 conf=51 best=31 817s
step=1200000 conf=53 best=31 1016s
step=1400000 conf=109 best=31 1237s
step=1600000 conf=104 best=31 1467s
step=1800000 conf=54 best=31 1684s
step=2000000 conf=65 best=31 1892s
step=2200000 conf=55 best=31 2116s
step=2400000 conf=62 best=31 2349s
step=2600000 conf=49 best=31 2577s
step=2800000 conf=59 best=31 2796s
step=3000000 conf=57 best=31 3029s
step=3200000 conf=55 best=31 3285s
step=3400000 conf=72 best=31 3518s
step=3600000 conf=53 best=31 3759s
step=3800000 conf=54 best=31 4018s
step=4000000 conf=51 best=31 4261s
step=4200000 conf=73 best=31 4489s
step=4400000 conf=42 best=31 4730s
step=4600000 conf=57 best=31 4975s
step=4800000 conf=163 best=31 5216s
step=5000000 conf=114 best=31 5452s
