n=3434 k=7 orbits=1717 constraints=982696
step=200000 conf=441 best=134 244s
step=400000 conf=400 best=110 775s
step=600000 conf=164 best=104 1509s
step=800000 conf=334 best=104 2210s
step=1000000 conf=126 best=104 2994s
step=1200000 conf=169 best=95 3814s
step=1400000 conf=149 best=95 4611s
step=1600000 conf=131 best=95 5431s
