n=1073 k=6 orbits=536 constraints=95944
step=200000 conf=52 best=40 157s
step=400000 conf=108 best=37 367s
step=600000 conf=57 best=37 577s
step=800000 conf=60 best=36 779s
step=1000000 conf=64 best=36 986s
step=1200000 conf=66 best=36 1187s
step=1400000 conf=60 best=36 1392s
step=1600000 conf=161 best=33 1590s
step=1800000 conf=103 best=33 1815s
step=2000000 conf=63 best=33 2024s
step=2200000 conf=63 best=33 2230s
step=2400000 conf=70 best=33 2437s
step=2600000 conf=73 best=33 2643s
step=2800000 conf=68 best=33 2850s
step=3000000 conf=84 best=33 3070s
step=3200000 conf=146 best=33 3291s
step=3400000 conf=99 best=33 3514s
step=3600000 conf=61 best=33 3734s
step=3800000 conf=70 best=33 3947s
step=4000000 conf=63 best=33 4181s
step=4200000 conf=59 best=33 4386s
step=4400000 conf=70 best=33 4608s
step=4600000 conf=49 best=33 4812s
