n=1073 k=6 orbits=536 constraints=95944
step=200000 conf=78 best=37 64s
step=400000 conf=57 best=30 244s
step=600000 conf=49 best=30 426s
step=800000 conf=52 best=28 600s
step=1000000 conf=51 best=28 779s
step=1200000 conf=45 best=28 990s
step=1400000 conf=69 best=28 1215s
step=1600000 conf=52 best=28 1457s
step=1800000 conf=42 best=28 1682s
step=2000000 conf=50 best=28 1916s
step=2200000 conf=44 best=28 2157s
step=2400000 conf=48 best=28 2401s
step=2600000 conf=167 best=28 2647s
step=2800000 conf=50 best=28 2885s
step=3000000 conf=145 best=28 3147s
step=3200000 conf=54 best=28 3404s
step=3400000 conf=65 best=28 3647s
step=3600000 conf=43 best=28 3893s
step=3800000 conf=52 best=28 4147s
step=4000000 conf=40 best=28 4401s
step=4200000 conf=57 best=28 4655s
step=4400000 conf=47 best=28 4909s
step=4600000 conf=46 best=28 5175s
step=4800000 conf=46 best=27 5406s
step=5000000 conf=58 best=27 5656s
