('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 0, 1), (1, 1, -1)))
('Y', (4, 4, 1, (1, 1, 0)), (15, 7, 0, 1, (0, 1, -1), (1, 0, 1)))
('Y', (4, 4, 1, (1, 0, 0)), (15, 7, 0, 1, (0, 0, 1), (1, 0, -1)))
('Y', (4, 4, 1, (1, 0, 1)), (12, 6, 0, 1, (0, 1, -1), (1, 0, 1)))
('Y', (4, 4, 1, (1, 0, 1)), (15, 7, 0, 1, (0, 0, 1), (1, 0, -1)))
('Y', (4, 4, 1, (1, 0, 0)), (15, 7, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 0)), (15, 7, 0, 1, (0, 1, -1), (1, -1, 1)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 0)), (15, 7, 0, 1, (0, 1, 1), (1, -1, -1)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 0, 1), (1, 0, -1)))
('Y', (4, 4, 1, (1, 1, 0)), (24, 8, 0, 1, (0, 1, 1), (1, 0, -1)))
('Y', (4, 4, 1, (1, 1, 0)), (20, 8, 0, 1, (0, 1, -1), (1, 0, 1)))
('Y', (4, 4, 1, (1, 1, 0)), (15, 7, 0, 1, (0, 1, -1), (1, 0, 1)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 0)), (12, 6, 0, 1, (0, 1, 0), (1, -1, 0)))
('Y', (4, 4, 1, (1, 0, 1)), (15, 7, 0, 1, (0, 1, -1), (1, 0, 1)))
('Y', (4, 4, 1, (1, 1, 0)), (15, 7, 0, 1, (0, 0, 1), (1, 1, -1)))
('N', (6, 6, 1, (1, 1, 0)), (24, 8, 0, 1, (0, 0, 1), (1, 1, -1)))
('N', (6, 6, 1, (1, 0, 0)), (23, 9, 0, 1, (0, 0, 1), (1, 0, -1)))
('N', (6, 6, 1, (1, -1, 0)), (20, 8, 0, 1, (0, 0, 1), (1, -1, -1)))
('N', (6, 6, 1, (1, 0, -1)), (20, 8, 0, 1, (0, 1, -1), (1, -1, 1)))
('N', (6, 6, 1, (1, -1, 1)), (20, 8, 0, 1, (0, 0, 1), (1, 0, -1)))
('N', (6, 6, 1, (1, 0, 1)), (35, 9, 0, 1, (0, 0, 1), (1, 0, -1)))
('N', (6, 6, 1, (1, 0, 0)), (20, 8, 0, 1, (0, 1, 0), (1, -1, 0)))
('N', (6, 6, 1, (1, 0, 0)), (20, 8, 0, 1, (0, 0, 1), (1, 1, -1)))
('N', (6, 6, 1, (1, 0, 1)), (20, 8, 0, 1, (0, 1, -1), (1, 0, 1)))
('N', (6, 6, 1, (1, 1, -1)), (20, 8, 0, 1, (0, 0, 1), (1, 1, -1)))
('N', (6, 6, 1, (1, -1, 1)), (20, 8, 0, 1, (0, 0, 1), (1, 0, -1)))
('N', (6, 6, 1, (1, -1, 0)), (20, 8, 0, 1, (0, 1, 0), (1, -1, 0)))
('N', (6, 6, 1, (1, 0, 0)), (20, 8, 0, 1, (0, 0, 1), (1, 0, -1)))
('N', (6, 6, 1, (1, 0, 1)), (20, 8, 0, 1, (0, 1, -1), (1, 0, 1)))
('N', (10, 7, 1, (1, 1, 1)), (40, 9, 0, 1, (0, 0, 1), (1, 1, -1)))
('N', (6, 6, 1, (1, 0, 1)), (20, 8, 0, 1, (0, 1, -1), (1, 0, 1)))
('N', (6, 6, 1, (1, 0, 0)), (20, 8, 0, 1, (0, 0, 1), (1, 1, -1)))
('N', (6, 6, 1, (1, 0, 0)), (20, 8, 0, 1, (0, 0, 1), (1, 0, -1)))
('N', (6, 6, 1, (1, -1, 0)), (20, 8, 0, 1, (0, 0, 1), (1, -1, -1)))
('N', (6, 6, 1, (1, -1, 0)), (20, 8, 0, 1, (0, 0, 1), (1, -1, -1)))
{'Y_r1_norm': 4, 'N_r1_norm': 6, 'Y_r1_support': 4, 'N_r1_support': 6, 'Y_r2_det': 12, 'N_r2_det': 20, 'Y_r2_support': 6, 'N_r2_support': 8, 'instances_each': 20}
